序號,統計期,統計區,"總計 (公噸)","紙類及紙製品 (公噸)","金屬類 (公噸)","塑膠及橡膠製品 (公噸)","玻璃製品 (公噸)","紡織品 (公噸)","家電用品 (公噸)","電池 (公噸)","資訊及通信物品 (公噸)","農藥容器及特殊環境用藥容器 (公噸)","食用油 (公噸)","其他 (公噸)"
2187,92年,臺北市,"231,243","144,984","55,123","14,135","7,954","2,549","1,281",489,269,0,0,"4,459"
2188,"103年 10月",花蓮縣,"3,652","1,954",534,717,313,35,31,18,9,1,0,41
2189,92年,桃園市,"74,452","42,644","12,059","5,957","6,637","1,473",949,473,418,0,0,"3,842"
2190,"103年 10月",澎湖縣,"1,141",683,107,112,156,26,17,29,5,0,0,6
2191,92年,臺中市,"109,583","57,438","17,327","12,633","14,463","1,465","1,012",895,279,0,0,"4,070"
2192,"103年 10月",基隆市,"5,279","3,126",529,441,824,48,53,3,28,1,0,225
2193,92年,臺中市(舊),"60,370","33,842","8,198","5,558","7,236",832,553,460,188,0,0,"3,503"
2194,"103年 10月",新竹市,"6,439","3,816",689,504,982,233,41,107,22,0,0,44
2195,"103年 10月",嘉義市,"3,810","1,903","1,066",382,120,53,187,19,55,0,0,25
2196,92年,臺中縣,"49,213","23,596","9,129","7,075","7,227",633,459,435,91,0,0,567
2197,"103年 10月",金門縣,870,475,181,105,58,3,20,6,7,0,0,15
2198,92年,臺南市,"83,544","42,091","11,112","18,018","6,469","2,405",722,725,157,0,0,"1,846"
2199,92年,臺南市(舊),"48,982","26,187","4,925","13,365","3,080",794,341,87,71,0,0,134
2200,"103年 10月",連江縣,190,72,62,35,9,1,5,3,1,0,0,1
2201,92年,臺南縣,"34,562","15,905","6,187","4,653","3,389","1,611",381,638,86,0,0,"1,713"
2202,"103年 11月",新北市,"36,663","20,311","8,119","4,176","2,175",481,316,91,85,12,19,880
2203,92年,高雄市,"142,052","55,736","31,767","15,580","16,558","1,929","2,469",588,571,0,0,"16,854"
2204,"103年 11月",臺北市,"38,436","21,452","14,416","1,463",785,44,144,12,28,0,9,81
2205,92年,高雄市(舊),"91,265","33,897","20,175","9,352","8,907",841,"1,467",342,257,0,0,"16,028"
2206,"103年 11月",桃園市,"28,651","15,577","6,728","2,858","1,673",189,454,157,246,2,18,749
2207,92年,高雄縣,"50,787","21,840","11,592","6,228","7,651","1,087","1,002",246,314,0,0,827
2208,"103年 11月",臺中市,"28,040","16,069","4,573","2,957","2,722",203,379,115,140,9,3,869
2209,92年,宜蘭縣,"21,435","11,385","4,688","2,076","2,202",499,332,144,104,0,0,4
2210,"103年 11月",臺南市,"23,400","13,209","6,216","1,908","1,151",164,202,137,106,7,3,297
2211,92年,新竹縣,"13,032","7,066","3,390","1,421",686,66,175,81,95,0,0,52
2212,"103年 11月",高雄市,"34,767","16,766","6,282","2,829","2,847","1,006",524,247,281,7,8,"3,971"
