序號,統計期,統計區,"總計 (公噸)","一般垃圾 (公噸)","巨大垃圾 (公噸)","資源垃圾 (公噸)","廚餘 (公噸)","平均每人每日一般廢棄物產生量 (公斤)"
236,"99年 1月",桃園市,"59,489","28,644",761,"23,963","6,121",0.969
237,"99年 2月",桃園市,"62,060","30,477",903,"24,562","6,118",1.119
238,"99年 3月",桃園市,"57,688","28,994",769,"21,662","6,262",0.939
239,"99年 4月",桃園市,"54,827","26,533",726,"21,414","6,154",0.921
240,"99年 5月",桃園市,"59,410","28,890",733,"23,410","6,376",0.964
241,"99年 6月",桃園市,"62,509","29,922",744,"25,495","6,348",1.04
242,"99年 7月",桃園市,"61,803","29,771",918,"24,464","6,649",0.991
243,"99年 8月",桃園市,"60,758","28,801",866,"24,468","6,622",0.978
244,"99年 9月",桃園市,"59,745","27,476",949,"24,570","6,750",0.994
245,"99年 10月",桃園市,"54,792","24,231",969,"22,702","6,890",0.883
246,"99年 11月",桃園市,"55,507","24,318",783,"23,685","6,720",0.924
247,"99年 12月",桃園市,"55,016","25,580",805,"21,828","6,803",0.887
,,,,,,,,
,,,,,,,,
